Tahun,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2021,HONDA,All New City IVTEC E AT,1497,CVT,G,40,-,-,16 x 6J,120,2600,4442 x 1694 x 1477,5,4X2,FF,-,4,4,CBU,Thailand,16,19,5,-,-,-,-,-,-,-,21,9
2021,HONDA,All New Civic,1500,CVT,G,57,1285,-,-,141,2700,4542 x 1755 x 1435,5,4X2,FF,-,4,4,CBU,Thailand,41,91,104,-,-,-,-,-,-,-,47,13
2021,HONDA,All New Civic Prestige,1500,AT,G,57,1285,-,-,141,2700,4542 x 1755 x 1435,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-
2021,HYUNDAI HMID,Ioniq EV Prime,-,AT,EV,-,1970,-,205/60/R16,-,2700,4470 x 1820 x 1475,5,4X2,-,-,5,4,CBU,South Korea,2,2,-,3,1,11,4,2,1,1,-,-
2021,HYUNDAI HMID,Ioniq EV Signature,-,AT,EV,-,1970,-,205/60/R16,-,2700,4470 x 1820 x 1475,5,4X2,-,-,5,4,CBU,South Korea,25,51,33,32,26,19,11,1,3,-,-,-
2021,HYUNDAI HIM,IONIQ EV,-,AT,EV,-,1970,-,-,-,-,-,5,4X2,-,0,4,4,CBU,Korea,-,-,-,-,-,-,-,-,-,-,-,-
2021,MERCEDES BENZ PC,A 200 Sedan (V177),1332,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,4,9,5,-,-,-,-,-,-,-,1,-
2021,MERCEDES BENZ PC,CLA 200 AMG Line (C118),1332,AT,G,43,1950,7,225/45 R18,163,2729,"4,695 x 1,999 x 1430",5,4X2,FF,-,4,4,CBU,-,1,-,2,1,12,3,-,-,-,-,-,-
2021,MERCEDES BENZ PC,AMG CLA 45 S,1332,AT,G,43,1950,7,225/45 R18,163,2729,"4,695 x 1,999 x 1430",5,4X4,AWD,-,4,4,CBU,-,-,-,-,-,1,1,-,-,-,-,-,-
2021,TOYOTA,Prius,1500,AT,G,45,1420,3267,195/65 R15,73 / 5200,2700,4460X1745X1480,5,4X2,FF,-,4,4,CBU,Japan,-,-,-,-,-,-,5,4,-,-,-,-
2021,TOYOTA,Vios E,1500,MT,G,42,1050,-,185/60 R15,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,30,-,-,-,-,-,4,11,-,-,-,-
2021,TOYOTA,Vios E AT,1500,AT,G,42,1055,-,185/60 R15,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-
2021,TOYOTA,Vios G,1500,MT,G,42,1060,-,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,-,13,13,-,3,-,1,5,3,2,3,1
2021,TOYOTA,Vios G AT,1500,AT,G,42,1080,-,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,18,12,28,145,109,26,64,244,107,208,184,9
2021,AUDI,A4 2.0 quattro TFSI  A/T,1984,AT,G,63,1485,4436,245/40/R18,211,2808,4701 x 1826 x 1427,5,4X4,4WD,240,4,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-
2021,AUDI,A5 2.0 TFSI,1984,AT,G,63,1465,3778,255/35/R18,211,2810,4625 x 1884 x 1372,5,4X4,4WD,-,2,4,CBU,Germany,-,-,-,-,-,-,-,-,1,-,-,-
2021,AUDI,A5 2.0 TFSI A/T SB,1984,AT,G,54,1490,0,245/40/R18,190,2824,4757 x 1843 x 1386,5,4X2,FF,241,5,4,CBU,Germany,-,-,-,-,-,-,-,-,1,-,-,1
2021,AUDI,A6 1.8 TFSI A/T,1800,AT,G,65,-,-,-,-,-,-,5,4X2,FF,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-
2021,AUDI,A6 2.0TFSI AT,1984,AT,G,65,1635,3667,245/45/R18,180,2912,4915 x 1874 x 1455,5,4X2,FF,226,4,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,1,-
2021,AUDI,RS4 2.9 TFSI A/T,2900,AT,G,58,0,0,-,0,0,-,5,4X4,4WD,0,5,4,CBU,Germany,-,-,-,-,-,-,2,-,-,-,1,-
2021,AUDI,RS5 2.9 TFSI A/T,2900,AT,G,61,-,-,-,-,-,-,5,4X4,4WD,0,5,4,CBU,Germany,-,-,-,-,-,1,-,-,-,-,-,-
2021,BMW,M2 Coupe A/T,2979,AT,G,0,2010,0,245/35 ZR19 93Y; 265/35 ZR19 98Y,0,2693,4468x1900x1410,0,4X2,FR,0,0,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-
2021,BMW,M2 Competition A/T,2979,AT,G,0,2010,0,245/35 ZR19 93Y; 265/35 ZR19 98Y,0,2693,4461x1854x1410,0,4X2,FR,0,0,0,CBU,Germany,3,3,1,5,4,4,19,-,-,-,-,-
2021,BMW,M2 CS A/T,2979,AT,G,52,2010,0,245/35 ZR19 93Y; 265/35 ZR19 98Y,450,2693,4461x1871x1414,0,4X2,FR,0,0,4,CBU,Germany,-,-,4,-,-,-,-,-,-,-,-,-
2021,BMW,M235i xDrive Gran Coupe A/T,1998,AT,G,50,2105,0,225/40 R18 92Y,306,2670,4526x1800x1420,0,4X4,-,0,0,4,CBU,Germany,4,-,-,1,-,-,-,1,-,-,-,1
