Tahun,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,Kolom1,SPEED,DOOR,WHEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2022,HONDA,All New  City,1497,CVT,G,40,0,0,16 x  6J,120,2600,4442 x  1694 x  1477,5,4X2,FF,0,4,4,CBU,Thailand,57,101,136,58,34,16,20,73,42,58,22,13
2022,HONDA,All New  Civic,1500,CVT,G,57,1285,0,0,141,2700,4542 x  1755 x  1435,5,4X2,FF,0,4,4,CBU,Thailand,80,158,64,57,30,0,87,4,88,1,1,60
2022,HYUNDAI HMID,Ioniq EV  Prime,0,AT,EV,0,1970,0,205/60/R16,0,2700,4470 x  1820 x  1475,5,4X2,0,0,5,4,CBU,South Kore,0,0,0,0,0,0,0,4,0,0,0,0
2022,HYUNDAI HMID,Ioniq EV  Signature,0,AT,EV,0,1970,0,205/60/R16,0,2700,4470 x  1820 x  1475,5,4X2,0,0,5,4,CBU,South Kore,17,1,6,2,1,2,0,12,0,0,0,0
2022,HYUNDAI HMID,Genesis  G80 EV,0,AT,EV,0,2265,0,245/45/R19,0,3010,5005 x  1925 x  1475,5,4X2,0,0,5,4,CBU,South Kore,0,0,1,0,0,9,0,0,0,0,0,124
2022,MERCEDES BENZ PC,CLA  200 AMG Line (C118),1332,AT,G,43,1950,7,225/45 R18,163,2729,"4,695 x  1,999 x  1430",5,4X2,FF,0,4,4,CBU,0,0,0,6,0,17,0,11,28,10,5,0,0
2022,MERCEDES BENZ PC,AMG CLA  45 S,1332,AT,G,43,1950,7,225/45 R18,163,2729,"4,695 x  1,999 x  1430",5,4X4,AWD,0,4,4,CBU,0,0,0,19,2,1,4,7,7,1,2,2,1
2022,MERCEDES BENZ PC,C 200 AVA  Line (W206),1496,AT,G,66,0,9,0,254,0,0,4,4X2,FR,0,4,4,CKD,0,0,0,0,0,0,0,58,27,60,11,38,19
2022,MAZDA,New  Mazda 2 Sedan,1496,AT,G,44,0,0,185/60R16,111,2570,4340 x  1695 x  1479,5,4X2,FF,0,4,4,CBU,Thailand,0,0,0,0,0,0,47,64,88,32,17,26
2022,MORRIS GARAGE,5 GT Activate 1.5L,1498,CVT,G,45,1233,0,205/55 R16,114,2680,4675 x  1842 x  1473,5,4X2,FF,8,5,4,CBU,Thailand,0,0,0,0,0,0,0,0,1,3,2,1
2022,MORRIS GARAGE,5 GT Ignite 1.5L,1498,CVT,G,45,1233,0,215/50 R17,114,2680,4675 x  1842 x  1473,5,4X2,FF,8,5,4,CBU,Thailand,0,0,0,0,0,0,48,72,30,0,0,32
