Tahun,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU
/ CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2023,HONDA,All  New City,"1,497",CVT,G,40,-,-,16 x 6J,120,"2,600",4442 x 1694 x 1477,5,4X2,FF,-,4,4,CBU,Thailand,13,49,42,51,25,-,-,-,-,82,34,4
2023,HONDA,All  New Civic,"1,500",CVT,G,57,"1,285",-,-,141,"2,700",4542 x 1755 x 1435,5,4X2,FF,-,4,4,CBU,Thailand,17,172,104,62,117,92,94,98,75,87,172,109
2023,BMW,i7 xDrive60 Limousine RHD AT,-,AT,BEV,-,"3,250",-,55/45 R20 105Y; 285/40 R20 10,544,"3,215",5181 x 2000 x 1835,-,4X4,4WD,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,62,28,29,15
2023,BMW,CBU i4 eDrive35 Gran Coupe AT,-,AT,BEV,-,"2,545",-,245/40 R19 98Y; 255/40 R19 100,286,"2,856",4.783 x 1.882 x 1.44,5,4X2,RR,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-
2023,HYUNDAI HMID,Ioniq EV Prime,-,AT,BEV,-,"1,970",-,205/60/R16,-,"2,700",4470 x 1820 x 1475,5,4X2,-,-,5,4,CBU,South Kore,-,-,-,-,-,-,-,-,-,4,3,-
2023,HYUNDAI HMID,Ioniq EV Signature,-,AT,BEV,-,"1,970",-,205/60/R16,-,"2,700",4470 x 1820 x 1475,5,4X2,-,-,5,4,CBU,South Kore,-,-,-,-,-,-,-,-,-,3,-,-
2023,HYUNDAI HMID,Ioniq 6,-,AT,BEV,-,"1,970",-,205/60/R16,-,"2,700",4470 x 1820 x 1475,5,4X2,-,-,5,4,CBU,South Kore,-,-,-,-,-,-,93,61,10,74,22,3
2023,HYUNDAI HMID,Genesis G80 EV,-,AT,BEV,-,"2,265",-,245/45/R19,-,"3,010",5005 x 1925 x 1475,5,4X2,-,-,5,4,CBU,South Kore,-,-,-,-,1,-,-,-,-,4,-,11
2023,MERCEDES BENZ PC,CLA 200 AMG Line (C118),"1,332",AT,G,43,"1,950",7,225/45 R18,163,"2,729","4,695 x 1,999 x 1430",5,4X2,FF,-,4,4,CBU,-,4,1,14,4,-,7,-,2,-,19,2,1
2023,MERCEDES BENZ PC,AMG CLA 45 S (C118),"1,332",AT,G,43,"1,950",7,225/45 R18,163,"2,729","4,695 x 1,999 x 1430",5,4X4,AWD,-,4,4,CBU,-,2,1,6,3,1,-,2,1,1,2,12,-
2023,MERCEDES BENZ PC,C 200 AVA Line (W206),"1,496",AT,G,66,-,9,-,254,-,-,4,4X2,FR,-,4,4,CKD,-,21,30,65,40,36,-,12,9,3,1,-,22
2023,MAZDA,Mazda 2 Sedan,"1,496",AT,G,44,-,-,185/60R16,111,"2,570",4340 x 1695 x 1479,5,4X2,FF,-,4,4,CBU,Thailand,23,7,16,2,1,29,12,7,9,7,5,6
2023,MORRIS GARAGE,5 GT  Activate 1.5L,"1,498",CVT,G,45,"1,233",-,205/55 R16,114,"2,680",4675 x 1842 x 1473,5,4X2,FF,8,5,4,CBU,Thailand,-,-,3,4,-,1,3,3,-,-,-,-
