Tahun,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEARRATIO,WHEEL&TYRESIZE,PS/HP,WHEELBASE,"DIMENSION
PxLxT",SEATER,DRIVESYS,,SPEED,DOOR,WHEELS,"CBU
/CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2024,HONDA,AllNewCity,1497,CVT,G,40,-,-,16x6J,120,26,4442x1694x1477,5,4X2,FF,-,4,4,CBU,Thailand,13,3,14,-,-,-,-,-,1,-,-,-
2024,HONDA,AllNewCivic,15,CVT,G,57,1285,-,-,141,27,4542x1755x1435,5,4X2,FF,-,4,4,CBU,Thailand,59,90,108,54,55,56,49,60,51,9,-,38
2024,AION,AIONES,-,AT,BEV,-,-,-,-,-,-,-,-,-,FF,-,-,-,CBU,China,-,-,-,-,-,-,-,-,-,-,-,-
2024,BMW,i7xDrive60LimousineRHDAT,-,AT,BEV,-,325,-,255/45R20105Y;285/40R20108Y,544,3215,5181x2000x1835,-,4X4,4WD,-,-,4,CBU,Germany,5,3,24,17,24,11,7,4,3,3,16,10
2024,BMW,CBUi4eDrive35GranCoupeAT,-,AT,BEV,-,2545,-,245/40R1998Y;255/40R19100Y,286,2856,4783x1882x144,5,4X2,RR,-,5,4,CBU,Germany,-,-,4,1,3,-,1,-,4,6,-,-
2024,BYD,SealPremiumExtendedRange,-,-,BEV,-,2,-,"19""Alloy235/45R19",-,292,4800X1875X1460,5,4X2,FF,-,5,4,CBU,CHINA,-,-,-,-,-,233,745,847,339,297,555,109
2024,BYD,SealPerformance,-,-,BEV,-,2,-,"19""Alloy235/45R19",-,292,4800X1875X1460,5,4X4,AWD,-,5,4,CBU,CHINA,-,-,-,-,-,466,545,404,152,36,82,18
2024,HYUNDAIHMID,Ioniq6,-,AT,BEV,-,197,-,205/60/R16,-,27,4470x1820x1475,5,4X2,-,-,5,4,CBU,SouthKore,7,3,1,2,1,6,8,3,8,4,3,-
2024,HYUNDAIHMID,GenesisG80,-,AT,BEV,-,2265,-,245/45/R19,-,301,5005x1925x1475,5,4X2,-,-,5,4,CBU,SouthKore,1,-,-,1,-,-,-,-,-,-,-,1
2024,MERCEDESBENZPC,CLA200AMGLine(C118),1332,AT,G,43,195,7,225/45R18,163,2729,"4,695x1,999x1430",5,4X2,FF,-,4,4,CBU,-,8,1,-,-,5,10,10,1,4,9,1,4
2024,MERCEDESBENZPC,AMGCLA45S(C118),1332,AT,G,43,195,7,225/45R18,163,2729,"4,695x1,999x1430",5,4X4,AWD,-,4,4,CBU,-,-,-,-,-,-,-,-,-,1,1,-,-
2024,MERCEDESBENZPC,C200AVALine(W206),1496,AT,G,66,-,9,-,254,-,-,4,4X2,FR,-,4,4,CKD,-,2,10,12,9,14,4,7,34,7,5,6,7
2024,MAZDA,Mazda2Sedan,1496,AT,G,44,-,-,185/60R16,111,257,4340x1695x1479,5,4X2,FF,-,4,4,CBU,Thailand,1,10,3,2,3,-,4,4,13,5,3,1
2024,MORRISGARAGE,5GTActivate15L,1498,CVT,G,45,1233,-,205/55R16,114,268,4675x1842x1473,5,4X2,FF,8,5,4,CBU,Thailand,3,-,-,-,-,-,-,-,-,-,-,-
2024,MORRISGARAGE,5GTIgnite15L,1498,CVT,G,45,1233,-,215/50R17,114,268,4675x1842x1473,5,4X2,FF,8,5,4,CBU,Thailand,18,18,21,13,2,4,24,14,18,5,3,-
2024,MORRISGARAGE,5GTMagnify15L,1498,CVT,G,45,1233,-,215/50R17,114,268,4675x1842x1480,5,4X2,FF,8,5,4,CBU,Thailand,-,12,12,7,11,15,7,17,-,-,5,5
2024,MORRISGARAGE,Cyberster,-,AT,BEV,-,-,-,245/40R20,543,2689,4533x1912x1328,-,4X4,AWD,-,2,4,CBU,China,-,-,-,-,-,-,-,-,-,13,9,5
2024,TOYOTA,MiraiAT,-,AT,FCEV,-,-,-,245/45R20,-,-,-,5,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,1
2024,TOYOTA,VIOS15GATFMC,15,AT,G,42,108,-,195/50R16,109/6000,255,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA,10,6,15,16,18,20,21,3,2,5,14,23
2024,AUDI,A520TFSI,1984,AT,G,63,1465,3778,255/35/R18,211,281,4625x1884x1372,5,4X4,4WD,-,2,4,CBU,Germany,1,-,-,-,-,-,-,-,-,-,-,-
2024,AUDI,A520TFSIA/TSB,1984,AT,G,54,149,-,245/40/R18,190,2824,4757x1843x1386,5,4X2,FF,241,5,4,CBU,Germany,-,-,1,-,1,-,-,-,-,-,-,-
