Tahun,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS,,SPEED,DOOR,WHEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL
2025,HONDA,All New City,1497000000000.000,CVT,G,40,-,-,16 x 6J,120,2600000000000.000,4442 x 1694 x 1477,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-
2025,HONDA,All New Civic,1500000000000.000,CVT,G,57,1285000000000.000,-,-,141,2700000000000.000,4542 x 1755 x 1435,5,4X2,FF,-,4,4,CBU,Thailand,-,3.00,-,-,-,-,-
2025,HONDA,New Civic,1500000000000.000,CVT,HYBRID,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,Thailand,-,-,-,-,30.00,36.00,42.00
2025,AION,AION ES,-,AT,BEV,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,China,-,-,-,-,-,-,-
2025,BMW,i7 xDrive60 Limousine RHD AT,0,AT,BEV,-,3250000000000.000,-,255/45 R20 105Y; 285/40 R20 108Y,544,3215000000000.000,5181 x 2000 x 1835,-,4X4,4WD,-,-,4,CBU,Germany,-,3.00,6.00,3.00,2.00,4.00,-
2025,BMW,CBU i4 eDrive35 Gran Coupe AT,-,AT,BEV,-,2545000000000.000,-,245/40 R19 98Y; 255/40 R19 100Y,286,2856000000000.000,4783 x 1882 x 1448,5,4X2,RR,-,5,4,CBU,Germany,-,2.00,1.00,2.00,-,-,2.00
2025,BMW,218 AT,1499000000000.000,AT,G,49,1420000000000.000,-,-,156,2670000000000.000,4546 x 1800 x 1445,5,4X2,FF,-,4,4,CBU,Germany,-,-,-,-,-,13.00,4.00
2025,BYD,Seal Dynamic,-,-,BEV,-,2,-,"18""Alloy 225/50 R18",-,2920000000000.000,4800X1875X1460,5,4X2,FF,-,5,4,CBU,China,-,-,-,-,-,-,-
2025,BYD,Seal Premium Extended Range,-,-,BEV,-,2,-,"19""Alloy 235/45 R19",-,2920000000000.000,4800X1875X1460,5,4X2,FF,-,5,4,CBU,China,243.00,21.00,134.00,123.00,46.00,1.00,67.00
2025,BYD,Seal Performance,-,-,BEV,-,2,-,"19""Alloy 235/45 R19",-,2920000000000.000,4800X1875X1460,5,4X4,AWD,-,5,4,CBU,China,42.00,5.00,100.00,60.00,157.00,-,-
2025,HYUNDAI HMID,Ioniq 6,-,AT,BEV,-,1970000000000.000,-,205/60/R16,-,2700000000000.000,4470 x 1820 x 1475,5,4X2,-,-,5,4,CBU,South Korea,4.00,56.00,131.00,-,-,-,-
2025,HYUNDAI HMID,Genesis G80 EV,-,AT,BEV,-,2265000000000.000,-,245/45/R19,-,3010000000000.000,5005 x 1925 x 1475,5,4X2,-,-,5,4,CBU,South Korea,-,-,-,-,-,2.00,-
2025,MERCEDES BENZ PC,A 200 Sedan (V177),1332000000000.000,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,-,-
2025,MERCEDES BENZ PC,CLA 200 AMG Line (C118),1332000000000.000,AT,G,43,1950000000000.000,7,225/45 R18,163,2729000000000.000,"4,695 x 1,999 x 1430",5,4X2,FF,-,4,4,CBU,-,1.00,2.00,1.00,-,-,-,1.00
2025,MERCEDES BENZ PC,AMG CLA 45 S (C118),1332000000000.000,AT,G,43,1950000000000.000,7,225/45 R18,163,2729000000000.000,"4,695 x 1,999 x 1430",5,4X4,AWD,-,4,4,CBU,-,-,-,-,-,-,-,-
2025,MERCEDES BENZ PC,C 200 AVA Line (W206),1496000000000.000,AT,G,66,-,9,-,254,-,-,4,4X2,FR,-,4,4,CKD,INA,-,5.00,12.00,10.00,13.00,29.00,30.00
2025,MAZDA,Mazda 2 Sedan,1496000000000.000,AT,G,44,-,-,185/60R16,111,2570000000000.000,4340 x 1695 x 1479,5,4X2,FF,-,4,4,CBU,Thailand,1.00,-,-,-,-,-,-
2025,MORRIS GARAGE,5 GT Activate 15L,1498000000000.000,CVT,G,45,1233000000000.000,-,205/55 R16,114,2680000000000.000,4675 x 1842 x 1473,5,4X2,FF,8,5,4,CBU,Thailand,-,-,-,-,-,-,-
2025,MORRIS GARAGE,5 GT Ignite 15L,1498000000000.000,CVT,G,45,1233000000000.000,-,215/50 R17,114,2680000000000.000,4675 x 1842 x 1473,5,4X2,FF,8,5,4,CBU,Thailand,10.00,2.00,3.00,1.00,2.00,1.00,7.00
2025,MORRIS GARAGE,5 GT Magnify 15L,1498000000000.000,CVT,G,45,1233000000000.000,-,215/50 R17,114,2680000000000.000,4675 x 1842 x 1480,5,4X2,FF,8,5,4,CBU,Thailand,-,-,2.00,1.00,-,1.00,3.00
2025,MORRIS GARAGE,Cyberster,-,AT,BEV,-,-,-,245/40 R20,543,2689000000000.000,4533 x 1912 x 1328,-,4X4,AWD,-,2,4,CBU,China,-,5.00,2.00,-,1.00,-,-
2025,TOYOTA,VIOS 15 G AT FMC,15--,AT,G,42,1-8-,-,195/5- R16,1-9 / 6---,255-,441-X17--X1475,5,4X2,FF,-,4,4,CKD,INA,6.00,37.00,3.00,1.00,19.00,4.00,2.00
